ISO_Code;Date;NombeDelit
FR-47;01/01/2020;12397
FR-48;01/01/2020;2421
FR-49;01/01/2020;28759
FR-50;01/01/2020;14183
FR-51;01/01/2020;27225
FR-52;01/01/2020;6727
FR-53;01/01/2020;9963
FR-54;01/01/2020;31032
FR-55;01/01/2020;7645
FR-56;01/01/2020;25906
FR-57;01/01/2020;39208
FR-58;01/01/2020;8385
FR-59;01/01/2020;143523
FR-60;01/01/2020;37236
FR-61;01/01/2020;10745
FR-62;01/01/2020;65888
FR-63;01/01/2020;26145
FR-64;01/01/2020;23622
FR-65;01/01/2020;8487
FR-66;01/01/2020;27130
FR-67;01/01/2020;46986
FR-68;01/01/2020;27828
FR-69;01/01/2020;123777
FR-70;01/01/2020;7613
FR-71;01/01/2020;18476
FR-72;01/01/2020;22912
FR-73;01/01/2020;18268
FR-74;01/01/2020;35316
FR-75;01/01/2020;246731
FR-76;01/01/2020;58671
FR-77;01/01/2020;70447
FR-78;01/01/2020;72222
FR-79;01/01/2020;12581
FR-80;01/01/2020;23405
FR-81;01/01/2020;13734
FR-82;01/01/2020;9454
FR-83;01/01/2020;57165
FR-84;01/01/2020;27398
FR-85;01/01/2020;22183
FR-86;01/01/2020;17597
FR-87;01/01/2020;12529
FR-88;01/01/2020;13377
FR-89;01/01/2020;16314
FR-90;01/01/2020;5029
FR-91;01/01/2020;64566
FR-92;01/01/2020;103572
FR-93;01/01/2020;137446
FR-94;01/01/2020;87247
FR-95;01/01/2020;73729
FR-01;01/01/2021;27891
FR-02;01/01/2021;23883
FR-03;01/01/2021;13931
FR-04;01/01/2021;8006
FR-05;01/01/2021;6104
FR-06;01/01/2021;70098
FR-07;01/01/2021;13138
FR-08;01/01/2021;12151
FR-09;01/01/2021;6478
FR-10;01/01/2021;15632
FR-11;01/01/2021;17103
FR-12;01/01/2021;8188
FR-13;01/01/2021;161753
FR-14;01/01/2021;28773
FR-15;01/01/2021;4302
FR-16;01/01/2021;15879
FR-17;01/01/2021;29526
FR-18;01/01/2021;11733
FR-19;01/01/2021;8819
FR-21;01/01/2021;22833
FR-22;01/01/2021;20578
FR-23;01/01/2021;4172
FR-24;01/01/2021;14742
FR-25;01/01/2021;25058
FR-26;01/01/2021;27186
FR-27;01/01/2021;26040
FR-28;01/01/2021;16258
FR-29;01/01/2021;35102
FR-2A;01/01/2021;6821
FR-2B;01/01/2021;7071
FR-30;01/01/2021;36922
FR-31;01/01/2021;87811
FR-32;01/01/2021;6355
FR-33;01/01/2021;98095
FR-34;01/01/2021;73259
FR-36;01/01/2021;8906
FR-35;01/01/2021;43666
FR-37;01/01/2021;30054
FR-38;01/01/2021;74462
FR-39;01/01/2021;9374
FR-40;01/01/2021;16545
FR-41;01/01/2021;12661
FR-42;01/01/2021;36710
FR-43;01/01/2021;8513
FR-44;01/01/2021;84120
FR-45;01/01/2021;32278
FR-46;01/01/2021;6190
FR-47;01/01/2021;14105
FR-48;01/01/2021;2524
FR-49;01/01/2021;30627
FR-50;01/01/2021;15800
FR-51;01/01/2021;29948
FR-52;01/01/2021;7479
FR-53;01/01/2021;10550
FR-54;01/01/2021;35203
FR-55;01/01/2021;8128
FR-56;01/01/2021;29485
FR-57;01/01/2021;41506
FR-58;01/01/2021;7891
FR-59;01/01/2021;154501
FR-60;01/01/2021;41238
FR-61;01/01/2021;11584
FR-62;01/01/2021;68506
FR-63;01/01/2021;28032
FR-64;01/01/2021;25112
FR-65;01/01/2021;8973
FR-66;01/01/2021;28743
FR-67;01/01/2021;50712
FR-68;01/01/2021;31789
FR-69;01/01/2021;142334
FR-70;01/01/2021;7634
FR-71;01/01/2021;20783
FR-72;01/01/2021;24698
FR-73;01/01/2021;18606
FR-74;01/01/2021;39505
FR-75;01/01/2021;263945
FR-76;01/01/2021;59850
FR-77;01/01/2021;78646
FR-78;01/01/2021;75695
FR-79;01/01/2021;12954
FR-80;01/01/2021;25327
FR-81;01/01/2021;15288
FR-82;01/01/2021;9308
FR-83;01/01/2021;64463
FR-84;01/01/2021;31334
FR-85;01/01/2021;23576
FR-86;01/01/2021;18524
FR-87;01/01/2021;14912
FR-88;01/01/2021;14011
FR-89;01/01/2021;17314
FR-90;01/01/2021;5177
FR-91;01/01/2021;70370
FR-92;01/01/2021;115945
FR-93;01/01/2021;148023
FR-94;01/01/2021;93728
FR-95;01/01/2021;82364
FR-01;01/01/2022;19656
FR-02;01/01/2022;17073
FR-03;01/01/2022;9786
FR-04;01/01/2022;6396
FR-05;01/01/2022;4555
FR-06;01/01/2022;48908
FR-07;01/01/2022;8938
FR-08;01/01/2022;8693
FR-09;01/01/2022;4955
FR-10;01/01/2022;11141
FR-11;01/01/2022;12812
FR-12;01/01/2022;6015
FR-13;01/01/2022;118976
FR-14;01/01/2022;21231
FR-15;01/01/2022;3051
FR-16;01/01/2022;11409
FR-17;01/01/2022;21850
FR-18;01/01/2022;8721
FR-19;01/01/2022;5872
FR-21;01/01/2022;15802
FR-22;01/01/2022;15532
FR-23;01/01/2022;3010
