ISO_Code;Grand secteur d'activité;Date;Valeur
FR-24;GS7 Services non marchands;01/01/2010;1001
FR-24;GS3 Commerce;01/01/2010;2788
FR-24;GS2 Construction;01/01/2010;1921
FR-24;GS6 Intérim;01/01/2010;54
FR-24;GS5 Autres services marchands hors intérim;01/01/2010;3427
FR-24;GS1 Industrie;01/01/2010;1122
FR-25;GS2 Construction;01/01/2010;1597
FR-25;GS7 Services non marchands;01/01/2010;1303
FR-25;GS5 Autres services marchands hors intérim;01/01/2010;4685
FR-25;GS1 Industrie;01/01/2010;1454
FR-25;GS6 Intérim;01/01/2010;145
FR-25;GS3 Commerce;01/01/2010;3006
FR-25;GS4 Hôtellerie-restauration;01/01/2010;1026
FR-26;GS2 Construction;01/01/2010;2028
FR-26;GS3 Commerce;01/01/2010;3600
FR-26;GS5 Autres services marchands hors intérim;01/01/2010;5305
FR-26;GS4 Hôtellerie-restauration;01/01/2010;1314
FR-26;GS6 Intérim;01/01/2010;112
FR-26;GS1 Industrie;01/01/2010;1611
FR-26;GS7 Services non marchands;01/01/2010;1296
FR-27;GS4 Hôtellerie-restauration;01/01/2010;1033
FR-27;GS2 Construction;01/01/2010;2159
FR-27;GS5 Autres services marchands hors intérim;01/01/2010;4258
FR-27;GS1 Industrie;01/01/2010;1357
FR-27;GS6 Intérim;01/01/2010;156
FR-27;GS3 Commerce;01/01/2010;2779
FR-27;GS7 Services non marchands;01/01/2010;964
FR-28;GS2 Construction;01/01/2010;1480
FR-28;GS3 Commerce;01/01/2010;2144
FR-28;GS1 Industrie;01/01/2010;1096
FR-28;GS5 Autres services marchands hors intérim;01/01/2010;3362
FR-28;GS6 Intérim;01/01/2010;70
FR-28;GS7 Services non marchands;01/01/2010;797
FR-28;GS4 Hôtellerie-restauration;01/01/2010;700
FR-29;GS1 Industrie;01/01/2010;1998
FR-29;GS7 Services non marchands;01/01/2010;2111
FR-29;GS5 Autres services marchands hors intérim;01/01/2010;7650
FR-29;GS3 Commerce;01/01/2010;5103
FR-29;GS2 Construction;01/01/2010;2850
FR-29;GS6 Intérim;01/01/2010;182
FR-29;GS4 Hôtellerie-restauration;01/01/2010;2479
FR-2A;GS2 Construction;01/01/2010;1050
FR-2A;GS1 Industrie;01/01/2010;371
FR-2A;GS3 Commerce;01/01/2010;1290
FR-2A;GS4 Hôtellerie-restauration;01/01/2010;955
FR-2A;GS6 Intérim;01/01/2010;4
FR-2A;GS5 Autres services marchands hors intérim;01/01/2010;1996
FR-2A;GS7 Services non marchands;01/01/2010;328
FR-2B;GS6 Intérim;01/01/2010;3
FR-2B;GS7 Services non marchands;01/01/2010;383
FR-2B;GS4 Hôtellerie-restauration;01/01/2010;806
FR-2B;GS3 Commerce;01/01/2010;1429
FR-2B;GS5 Autres services marchands hors intérim;01/01/2010;1963
FR-2B;GS2 Construction;01/01/2010;1043
FR-2B;GS1 Industrie;01/01/2010;403
FR-30;GS7 Services non marchands;01/01/2010;1801
FR-30;GS6 Intérim;01/01/2010;103
FR-30;GS1 Industrie;01/01/2010;1643
FR-30;GS3 Commerce;01/01/2010;4512
FR-30;GS2 Construction;01/01/2010;2964
FR-30;GS5 Autres services marchands hors intérim;01/01/2010;6687
FR-30;GS4 Hôtellerie-restauration;01/01/2010;1740
FR-31;GS4 Hôtellerie-restauration;01/01/2010;2766
FR-31;GS6 Intérim;01/01/2010;331
FR-31;GS5 Autres services marchands hors intérim;01/01/2010;15761
FR-31;GS2 Construction;01/01/2010;4356
FR-31;GS1 Industrie;01/01/2010;2645
FR-31;GS7 Services non marchands;01/01/2010;3308
FR-31;GS3 Commerce;01/01/2010;7925
FR-32;GS2 Construction;01/01/2010;802
FR-32;GS1 Industrie;01/01/2010;446
FR-32;GS6 Intérim;01/01/2010;33
FR-32;GS7 Services non marchands;01/01/2010;441
FR-32;GS3 Commerce;01/01/2010;1270
FR-32;GS4 Hôtellerie-restauration;01/01/2010;411
