Code du département.1;Nom.11;%Voix/Exp;annee
FR-09;20;3.61;01/01/2017
FR-10;20;6.35;01/01/2017
FR-11;20;3.86;01/01/2017
FR-12;20;4.85;01/01/2017
FR-13;20;3.85;01/01/2017
FR-14;20;5;01/01/2017
FR-15;20;4.42;01/01/2017
FR-16;20;5.03;01/01/2017
FR-17;20;5.32;01/01/2017
FR-18;20;5.53;01/01/2017
FR-19;20;4.84;01/01/2017
FR-21;20;5.25;01/01/2017
FR-22;20;4.26;01/01/2017
FR-23;20;5.01;01/01/2017
FR-24;20;4.59;01/01/2017
FR-25;20;5.18;01/01/2017
FR-26;20;5.19;01/01/2017
FR-27;20;5.67;01/01/2017
FR-28;20;6.01;01/01/2017
FR-29;20;4.08;01/01/2017
FR-2A;20;3.04;01/01/2017
FR-2B;20;2.75;01/01/2017
FR-30;20;4.23;01/01/2017
FR-31;20;3.87;01/01/2017
FR-32;20;4.53;01/01/2017
FR-33;20;4.18;01/01/2017
FR-34;20;3.69;01/01/2017
FR-35;20;4.48;01/01/2017
FR-36;20;5.48;01/01/2017
FR-37;20;5.43;01/01/2017
FR-38;20;5.1;01/01/2017
FR-39;20;5.71;01/01/2017
FR-40;20;4.45;01/01/2017
FR-41;20;6.01;01/01/2017
FR-42;20;5.8;01/01/2017
FR-43;20;5.98;01/01/2017
FR-44;20;4.5;01/01/2017
FR-45;20;5.94;01/01/2017
FR-46;20;4.11;01/01/2017
FR-47;20;4.98;01/01/2017
FR-48;20;4.56;01/01/2017
FR-49;20;5.52;01/01/2017
FR-50;20;5.68;01/01/2017
FR-51;20;5.75;01/01/2017
FR-52;20;6.26;01/01/2017
FR-53;20;5.61;01/01/2017
FR-54;20;5.09;01/01/2017
FR-55;20;6.35;01/01/2017
FR-56;20;4.78;01/01/2017
FR-57;20;5.82;01/01/2017
FR-58;20;5.35;01/01/2017
FR-59;20;4.82;01/01/2017
FR-60;20;5.47;01/01/2017
FR-61;20;5.81;01/01/2017
FR-62;20;4.97;01/01/2017
FR-63;20;4.38;01/01/2017
FR-64;20;3.72;01/01/2017
FR-65;20;4.21;01/01/2017
FR-66;20;3.65;01/01/2017
FR-67;20;6.57;01/01/2017
FR-68;20;7.07;01/01/2017
FR-69;20;4.33;01/01/2017
FR-70;20;5.86;01/01/2017
FR-71;20;6.12;01/01/2017
FR-72;20;4.24;01/01/2017
FR-73;20;5.66;01/01/2017
FR-74;20;5.99;01/01/2017
FR-75;20;1.67;01/01/2017
FR-76;20;4.81;01/01/2017
FR-77;20;6.1;01/01/2017
FR-78;20;4.34;01/01/2017
FR-79;20;5.3;01/01/2017
FR-80;20;4.84;01/01/2017
FR-81;20;4.89;01/01/2017
FR-82;20;4.93;01/01/2017
FR-83;20;4.76;01/01/2017
FR-84;20;4.6;01/01/2017
FR-85;20;5.78;01/01/2017
FR-86;20;5.01;01/01/2017
FR-87;20;4.46;01/01/2017
FR-88;20;6.53;01/01/2017
FR-89;20;6.32;01/01/2017
FR-90;20;5.27;01/01/2017
FR-91;20;7.18;01/01/2017
FR-92;20;2.69;01/01/2017
FR-93;20;3.07;01/01/2017
FR-94;20;4.32;01/01/2017
FR-95;20;4.52;01/01/2017
FR-01;19;21.43;01/01/2017
FR-02;19;16.3;01/01/2017
FR-03;19;18.94;01/01/2017
FR-04;19;18.49;01/01/2017
FR-05;19;19.15;01/01/2017
FR-06;19;27.39;01/01/2017
FR-07;19;17.3;01/01/2017
FR-08;19;17.22;01/01/2017
FR-09;19;12.75;01/01/2017
FR-10;19;23.05;01/01/2017
FR-11;19;15.06;01/01/2017
FR-12;19;20.78;01/01/2017
FR-13;19;19.76;01/01/2017
FR-14;19;20.5;01/01/2017
FR-15;19;23.58;01/01/2017
FR-16;19;16.96;01/01/2017
FR-17;19;20.59;01/01/2017
FR-18;19;19.09;01/01/2017
FR-19;19;17.46;01/01/2017
FR-21;19;21.26;01/01/2017
FR-22;19;18.38;01/01/2017
FR-23;19;17.99;01/01/2017
FR-24;19;17.09;01/01/2017
FR-25;19;21.09;01/01/2017
FR-26;19;18.5;01/01/2017
FR-27;19;18.84;01/01/2017
FR-28;19;21.84;01/01/2017
FR-29;19;17.94;01/01/2017
FR-2A;19;25.68;01/01/2017
FR-2B;19;25.44;01/01/2017
FR-30;19;17.2;01/01/2017
FR-31;19;16.49;01/01/2017
FR-32;19;17.96;01/01/2017
FR-33;19;17.08;01/01/2017
FR-34;19;17.6;01/01/2017
FR-35;19;19.03;01/01/2017
FR-36;19;19.46;01/01/2017
FR-37;19;21.24;01/01/2017
FR-38;19;17.05;01/01/2017
FR-39;19;18.97;01/01/2017
FR-40;19;17.13;01/01/2017
FR-41;19;22.07;01/01/2017
FR-42;19;18.36;01/01/2017
FR-43;19;18.6;01/01/2017
FR-44;19;19.68;01/01/2017
FR-45;19;21.28;01/01/2017
FR-46;19;16.66;01/01/2017
FR-47;19;18.44;01/01/2017
FR-48;19;22.82;01/01/2017
FR-49;19;23.73;01/01/2017
FR-50;19;21.6;01/01/2017
FR-51;19;22.15;01/01/2017
FR-52;19;19.12;01/01/2017
FR-53;19;27.06;01/01/2017
FR-54;19;16.5;01/01/2017
FR-55;19;18.02;01/01/2017
FR-56;19;20.88;01/01/2017
FR-57;19;17.17;01/01/2017
FR-58;19;17.25;01/01/2017
FR-59;19;16.75;01/01/2017
FR-60;19;17.54;01/01/2017
FR-61;19;24.74;01/01/2017
FR-62;19;14.29;01/01/2017
FR-63;19;16.39;01/01/2017
FR-64;19;18.16;01/01/2017
FR-65;19;14.48;01/01/2017
FR-66;19;17.19;01/01/2017
FR-67;19;22;01/01/2017
FR-68;19;22.34;01/01/2017
FR-69;19;23.16;01/01/2017
FR-70;19;18.05;01/01/2017
FR-71;19;19.39;01/01/2017
FR-72;19;28.61;01/01/2017
FR-73;19;21.04;01/01/2017
FR-74;19;25.41;01/01/2017
FR-75;19;26.45;01/01/2017
FR-76;19;17.24;01/01/2017
FR-77;19;17.77;01/01/2017
FR-78;19;27.25;01/01/2017
FR-79;19;18.75;01/01/2017
FR-80;19;16.22;01/01/2017
FR-81;19;17.56;01/01/2017
FR-82;19;17.71;01/01/2017
FR-83;19;24.87;01/01/2017
FR-84;19;18.97;01/01/2017
FR-85;19;25.5;01/01/2017
FR-86;19;17.96;01/01/2017
FR-87;19;15.6;01/01/2017
FR-88;19;18.03;01/01/2017
FR-89;19;19.91;01/01/2017
FR-90;19;17.7;01/01/2017
FR-91;19;18.04;01/01/2017
FR-92;19;29.14;01/01/2017
FR-93;19;12.76;01/01/2017
FR-94;19;20.21;01/01/2017
FR-95;19;18.45;01/01/2017
FR-01;14;5.13;01/01/2017
FR-02;14;4.24;01/01/2017
FR-03;14;5.52;01/01/2017
FR-04;14;5;01/01/2017
FR-05;14;5.88;01/01/2017
FR-06;14;3.58;01/01/2017
FR-07;14;6.01;01/01/2017
FR-08;14;4.93;01/01/2017
FR-09;14;7.85;01/01/2017
FR-10;14;4.06;01/01/2017
FR-11;14;6.35;01/01/2017
FR-12;14;6.16;01/01/2017
FR-13;14;4.53;01/01/2017
FR-14;14;6.8;01/01/2017
FR-15;14;5.25;01/01/2017
FR-16;14;6.32;01/01/2017
FR-17;14;5.76;01/01/2017
FR-18;14;5.3;01/01/2017
FR-19;14;6.36;01/01/2017
FR-21;14;5.9;01/01/2017
FR-22;14;8.6;01/01/2017
FR-23;14;7.82;01/01/2017
FR-24;14;6.35;01/01/2017
FR-25;14;5.74;01/01/2017
FR-26;14;6.02;01/01/2017
FR-27;14;5.05;01/01/2017
FR-28;14;5.25;01/01/2017
FR-29;14;10.91;01/01/2017
FR-2A;14;3.49;01/01/2017
FR-2B;14;3.97;01/01/2017
FR-30;14;4.87;01/01/2017
FR-31;14;8.37;01/01/2017
FR-32;14;8.03;01/01/2017
FR-33;14;7.56;01/01/2017
FR-34;14;5.77;01/01/2017
FR-35;14;8.91;01/01/2017
FR-36;14;5.95;01/01/2017
FR-37;14;6.74;01/01/2017
FR-38;14;6.59;01/01/2017
FR-39;14;5.07;01/01/2017
FR-40;14;8.69;01/01/2017
FR-41;14;5.66;01/01/2017
FR-42;14;5.8;01/01/2017
FR-43;14;5.33;01/01/2017
FR-44;14;8.03;01/01/2017
FR-45;14;5.75;01/01/2017
FR-46;14;7.18;01/01/2017
FR-47;14;5.63;01/01/2017
FR-48;14;5.68;01/01/2017
FR-49;14;6.44;01/01/2017
FR-50;14;6.4;01/01/2017
FR-51;14;4.66;01/01/2017
FR-52;14;4.19;01/01/2017
FR-53;14;5.69;01/01/2017
FR-54;14;6.22;01/01/2017
FR-55;14;4.59;01/01/2017
FR-56;14;7.33;01/01/2017
FR-57;14;5.27;01/01/2017
FR-58;14;6.52;01/01/2017
FR-59;14;5.65;01/01/2017
FR-60;14;4.69;01/01/2017
FR-61;14;5.21;01/01/2017
FR-62;14;5.17;01/01/2017
FR-63;14;7.24;01/01/2017
FR-64;14;7.73;01/01/2017
FR-65;14;7.11;01/01/2017
FR-66;14;5.04;01/01/2017
FR-67;14;5.34;01/01/2017
FR-68;14;4.63;01/01/2017
FR-69;14;6.76;01/01/2017
FR-70;14;4.73;01/01/2017
FR-71;14;6.19;01/01/2017
FR-72;14;5.33;01/01/2017
FR-73;14;5.69;01/01/2017
FR-74;14;5.27;01/01/2017
FR-75;14;10.18;01/01/2017
FR-76;14;6.05;01/01/2017
FR-77;14;5.7;01/01/2017
FR-78;14;6.93;01/01/2017
FR-79;14;6.97;01/01/2017
FR-80;14;4.46;01/01/2017
FR-81;14;6.64;01/01/2017
FR-82;14;5.84;01/01/2017
FR-83;14;3.44;01/01/2017
FR-84;14;4.31;01/01/2017
FR-85;14;5.1;01/01/2017
FR-86;14;7.09;01/01/2017
FR-87;14;7.74;01/01/2017
FR-88;14;4.96;01/01/2017
FR-89;14;4.79;01/01/2017
FR-90;14;5.85;01/01/2017
FR-91;14;6.75;01/01/2017
FR-92;14;7.19;01/01/2017
