CodeDep;Année;Hommes;Femmes;total
FR-17;01/01/2012;302073;326660;628733
FR-18;01/01/2012;151538;160359;311897
FR-19;01/01/2012;116876;124371;241247
FR-2A;01/01/2012;70538;74891;145429
FR-2B;01/01/2012;84230;86598;170828
FR-21;01/01/2012;255391;272012;527403
FR-22;01/01/2012;287875;307656;595531
FR-23;01/01/2012;59079;62438;121517
FR-24;01/01/2012;200335;216049;416384
FR-25;01/01/2012;260006;271056;531062
FR-26;01/01/2012;238997;252337;491334
FR-27;01/01/2012;289403;302213;591616
FR-28;01/01/2012;211434;220673;432107
FR-29;01/01/2012;437450;463843;901293
FR-30;01/01/2012;349572;376046;725618
FR-31;01/01/2012;625141;654208;1279349
FR-32;01/01/2012;92386;97144;189530
FR-33;01/01/2012;711560;772152;1483712
FR-34;01/01/2012;515721;561906;1077627
FR-35;01/01/2012;492316;515585;1007901
FR-36;01/01/2012;110671;118021;228692
FR-37;01/01/2012;287020;309917;596937
FR-38;01/01/2012;602793;622200;1224993
FR-39;01/01/2012;127648;133284;260932
FR-40;01/01/2012;191108;201776;392884
FR-41;01/01/2012;161136;170520;331656
FR-42;01/01/2012;363421;390342;753763
FR-43;01/01/2012;110775;114911;225686
FR-44;01/01/2012;637572;675749;1313321
FR-45;01/01/2012;323035;339262;662297
FR-46;01/01/2012;84441;89905;174346
FR-47;01/01/2012;160083;172036;332119
FR-48;01/01/2012;38538;38351;76889
FR-49;01/01/2012;386369;409188;795557
FR-50;01/01/2012;243621;255719;499340
FR-51;01/01/2012;276196;292554;568750
FR-52;01/01/2012;89407;92729;182136
FR-53;01/01/2012;151390;156063;307453
FR-54;01/01/2012;355164;378102;733266
FR-55;01/01/2012;95336;97464;192800
FR-56;01/01/2012;355456;376916;732372
FR-57;01/01/2012;512446;534022;1046468
FR-58;01/01/2012;104291;112495;216786
FR-59;01/01/2012;1249080;1338048;2587128
FR-60;01/01/2012;398008;412292;810300
FR-61;01/01/2012;140699;149316;290015
FR-62;01/01/2012;707439;756189;1463628
FR-63;01/01/2012;308957;329135;638092
FR-64;01/01/2012;317586;343285;660871
FR-65;01/01/2012;110115;118739;228854
FR-66;01/01/2012;217428;240365;457793
FR-67;01/01/2012;538392;566275;1104667
FR-68;01/01/2012;369656;385546;755202
FR-69;01/01/2012;847609;915257;1762866
FR-70;01/01/2012;118373;121377;239750
FR-71;01/01/2012;269762;285277;555039
FR-72;01/01/2012;276413;290969;567382
FR-73;01/01/2012;207283;213822;421105
FR-74;01/01/2012;371570;384931;756501
FR-75;01/01/2012;1055335;1185286;2240621
FR-76;01/01/2012;602554;651377;1253931
FR-77;01/01/2012;661949;691997;1353946
FR-78;01/01/2012;688606;723750;1412356
FR-79;01/01/2012;182294;189289;371583
FR-80;01/01/2012;277467;293687;571154
FR-81;01/01/2012;182913;196034;378947
FR-82;01/01/2012;120562;126409;246971
FR-83;01/01/2012;490791;530878;1021669
FR-84;01/01/2012;262185;284129;546314
FR-85;01/01/2012;318033;330868;648901
FR-86;01/01/2012;207843;222175;430018
FR-87;01/01/2012;180103;195766;375869
FR-88;01/01/2012;183399;193883;377282
FR-89;01/01/2012;165891;176011;341902
FR-90;01/01/2012;71664;72276;143940
FR-91;01/01/2012;605957;631550;1237507
FR-92;01/01/2012;756649;829785;1586434
FR-93;01/01/2012;755368;783358;1538726
FR-94;01/01/2012;644694;697137;1341831
FR-95;01/01/2012;578104;608977;1187081
FR-01;01/01/2015;311982;319895;631877
FR-02;01/01/2015;261996;276663;538659
FR-03;01/01/2015;163755;177858;341613
FR-04;01/01/2015;78712;83087;161799
FR-05;01/01/2015;68864;72052;140916
FR-06;01/01/2015;513015;569425;1082440
FR-07;01/01/2015;158059;166150;324209
